souche_temps_sauvage_t0_vs_mutant_t0	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species
2b8f9fcb9ac22f54c1967728797d226b	17609.808923706	2.12155699795464	0.777659301512451	2.72813170732797	0.00636941710370127	0.0280254352562856	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__Blautia_coccoides
8c0f8f5ae9a48acfb96300c666eb4ccb	6788.88881137182	-0.156604497087456	0.745128684491114	-0.210171075610127	0.833534153699576	0.923727689434417	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Barnesiella	s__Barnesiella_intestinihominis
4b9344cb7f7df3d60b7ee87b9f3fca8d	1607.46697232357	-11.0577456878012	2.14028727134432	-5.16647733967776	2.38547108190851e-07	2.62401819009937e-06	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_acidifaciens
296342a3e91b22f26e3751aa3181b576	1284.45995273417	1.26381238777616	0.58506037936673	2.16014010236706	0.0307618253644763	0.109104679824271	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Atopobiaceae_genus	s__Atopobiaceae_species
54cc824edef7f2b56b3a0443ab6953a8	1.23416423279056	-3.40587005227524	3.02358607557477	-1.12643396521391	0.259981876870552	0.528361677894418	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium_species
6242b11a213a50cace40577d8ccd0a91	657.458718461355	1.39310936031532	0.659720571319236	2.1116657883345	0.0347151253986318	0.109104679824271	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__Mucispirillum_schaedleri
ff3dcbe6124cbaf8898d4e691d7f03ef	1714.74001557653	-1.36009313754376	1.21810596887382	-1.11656388877333	0.264180838947209	0.528361677894418	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminiclostridium	s__Ruminiclostridium_leptum
45f4cf503842ba79c8a805bd18caf41f	771.679948107899	0.322608807004579	2.15138543117597	0.149953979575031	0.880800923597721	0.923727689434417	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_shahii
2249b597062b877e1b7170c3b4b84815	0.158214454541627	-0.230696655461795	3.10794857035008	-0.0742279514090572	0.940829005187002	0.940829005187002	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiales_vadinBB60_group	g__Clostridiales_vadinBB60_group_Genus	s__Clostridiales_vadinBB60_group_Species
1a7f98473afa81b180af6085c63e5851	383.752926641193	12.3703634762901	2.15809177936604	5.73208405433247	9.92040862804226e-09	2.1824898981693e-07	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_gasseri
